model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 B Class,2017,Semi-Auto,26704,Diesel,145,68.9,2.1,13999
 CL Class,2020,Semi-Auto,1000,Diesel,145,55.4,2.0,30389
 V Class,2018,Manual,24164,Diesel,145,46.3,2.1,19498
 E Class,2017,Semi-Auto,28078,Diesel,145,65.7,2.0,21799
 C Class,2019,Semi-Auto,15838,Diesel,145,61.4,2.0,24498
 A Class,2019,Automatic,1521,Diesel,145,56.5,2.0,22730
 A Class,2018,Manual,13297,Petrol,145,51.4,1.6,17490
 C Class,2017,Semi-Auto,41935,Diesel,30,64.2,2.1,18990
 SLK,2015,Semi-Auto,40625,Diesel,150,56.5,2.0,14990
 C Class,2015,Automatic,32712,Diesel,20,65.7,2.1,14500
 GLS Class,2017,Semi-Auto,23510,Diesel,150,37.2,3.0,38990
 CL Class,2020,Semi-Auto,618,Petrol,145,44.8,1.3,29995
 C Class,2017,Semi-Auto,28808,Diesel,145,61.4,2.1,18998
 E Class,2019,Automatic,5615,Diesel,145,45.6,2.0,32640
 C Class,2013,Automatic,25525,Petrol,160,46.3,1.6,11999
 C Class,2019,Semi-Auto,10000,Diesel,145,60.1,1.6,25000
 GL Class,2014,Automatic,5007,Diesel,145,55.4,2.1,17699
 A Class,2015,Manual,43610,Diesel,20,72.4,1.5,12299
 SL CLASS,2019,Semi-Auto,6116,Petrol,145,36.7,3.0,49480
 GLA Class,2017,Semi-Auto,24309,Diesel,150,64.2,2.1,13980
 C Class,2019,Automatic,1000,Diesel,145,54.3,2.0,38289
 CL Class,2017,Semi-Auto,9281,Diesel,20,67.3,2.1,21380
 E Class,2014,Automatic,30200,Diesel,125,57.7,2.1,13967
 C Class,2018,Automatic,22291,Diesel,150,60.1,2.1,19000
 E Class,2016,Semi-Auto,25593,Diesel,125,58.9,2.1,18037
 A Class,2020,Manual,29515,Petrol,150,47.1,1.3,16862
 SLK,2016,Automatic,41509,Diesel,30,70.6,2.1,15100
 E Class,2019,Semi-Auto,26100,Diesel,145,65.7,2.0,28998
 GLA Class,2018,Semi-Auto,11577,Diesel,145,67.3,2.1,18950
 E Class,2017,Semi-Auto,17227,Diesel,20,72.4,2.0,20940
 GLC Class,2018,Automatic,10516,Diesel,145,56.5,2.1,31975
