battery_power,n_cores,ram,clock_speed,internal_memory,bluetooh,wifi,touch_screen,front_camera_resolution,primary_camera_resolution,mobile_depth,mobile_width,screen_height,screen_width,screen_resolution_height,screen_resolution_width,four_g,five_g,dual_sim,talk_time,price_level
1549,5,3836,0.7,8,0,0,1,4,7,0.7,158,12,7,721,1514,1,0,0,15,2
525,7,1609,2.5,12,0,0,0,5,20,0.8,159,16,11,82,670,0,0,0,3,0
930,1,1743,2.1,54,0,0,1,0,13,0.9,80,7,1,1569,1763,0,0,1,9,2
852,5,315,1.8,8,0,0,0,5,9,0.8,160,7,6,683,1349,1,1,1,20,0
1221,7,2638,2.3,35,0,1,1,7,19,0.4,152,19,16,765,1899,1,1,0,14,2
695,1,1704,1.1,26,1,1,1,0,11,0.7,177,6,5,511,621,1,1,1,7,0
989,3,2349,0.7,51,1,1,0,13,15,0.4,132,10,1,670,804,1,1,0,20,1
739,3,475,2.3,58,1,0,1,2,4,0.4,88,7,1,965,1536,1,1,1,6,0
1092,1,1303,2.7,45,0,1,1,8,10,0.8,185,12,3,1404,1424,0,0,1,20,1
772,4,422,1.2,8,1,1,0,0,8,0.6,134,7,6,552,1802,1,0,1,15,0
835,4,1181,1.1,7,0,1,1,2,7,0.2,101,13,5,323,1604,1,0,1,15,0
1011,7,2261,1.1,36,0,1,1,4,18,0.2,131,7,6,481,749,1,1,0,16,1
1776,7,3576,0.8,37,0,1,1,4,7,0.8,199,18,15,1791,1896,1,0,1,2,3
728,2,2039,2.7,25,0,1,1,0,15,0.5,88,5,1,526,636,1,0,1,12,1
1122,7,286,2.0,55,0,0,0,13,10,0.9,105,14,4,713,1096,1,0,0,17,0
1589,4,3961,2.2,58,1,1,0,2,4,0.1,128,16,14,957,1911,1,0,1,14,3
557,3,1305,1.6,24,1,1,0,0,0,0.5,125,12,8,1131,1315,1,0,0,3,0
879,8,2806,1.5,34,0,1,1,10,0,0.7,142,5,5,507,973,1,1,0,7,2
1221,1,2438,0.5,28,0,1,1,1,7,0.5,139,13,11,1895,1976,1,1,0,10,3
718,1,1754,0.7,21,0,1,0,0,7,0.8,88,17,11,518,830,1,1,1,9,1
1148,5,3127,2.3,58,0,0,0,0,20,0.3,170,10,7,606,688,1,1,1,11,2
642,5,435,0.5,10,0,0,1,13,10,0.8,86,9,2,5,1775,1,1,0,2,0
1841,8,2304,1.3,14,1,1,0,6,8,0.6,167,7,1,593,672,0,0,1,18,2
1299,6,1938,2.8,64,1,1,0,0,6,0.5,83,19,8,46,908,1,0,1,5,1
1995,1,1322,0.5,2,1,1,1,6,15,0.3,129,15,11,649,1662,0,0,1,7,1
1185,8,3130,2.2,31,0,1,1,0,6,0.4,126,16,2,837,1642,1,1,0,3,2
1442,4,1470,2.6,36,1,0,1,0,0,0.3,149,13,0,417,627,1,0,0,14,0
980,7,2854,0.7,12,1,0,0,4,7,0.1,178,10,7,1012,1040,1,0,0,12,2
1341,8,2200,2.1,36,1,0,1,0,1,0.4,107,18,14,473,574,0,0,1,15,1
1273,6,558,0.7,23,1,0,1,1,14,0.8,178,8,5,541,1399,1,0,0,13,0
1010,5,3317,1.1,24,0,1,1,2,6,0.3,116,6,1,798,1418,1,1,1,8,3
1030,1,2800,0.5,37,1,1,0,3,8,0.7,147,8,6,58,551,1,1,0,7,2
1572,7,2462,0.6,58,0,0,0,0,8,0.2,157,12,8,1109,1937,1,1,0,10,3
829,7,820,0.5,56,0,1,0,0,1,0.6,129,12,6,91,1916,1,0,0,11,0
1674,3,2030,2.8,52,0,0,0,0,7,0.2,89,7,0,1432,1649,1,1,1,6,2
783,6,1185,1.7,27,1,1,1,9,11,0.3,150,15,4,458,1263,1,1,1,6,0
1991,1,722,2.2,42,0,0,0,1,13,0.7,82,6,10,115,589,1,0,1,10,0
732,6,3681,1.3,39,1,1,1,1,14,0.8,188,19,4,1163,1554,1,1,1,15,3
1887,8,3348,3.0,17,1,0,1,6,7,0.2,126,18,16,1172,1798,1,1,1,16,3
538,7,417,0.8,2,0,1,0,12,13,0.8,177,8,4,235,662,1,1,0,9,0
915,8,905,0.7,56,0,0,0,6,17,0.6,187,17,10,532,1448,0,0,1,11,0
809,7,1274,0.8,21,0,0,0,10,19,0.9,91,18,7,1453,1726,0,0,0,3,1
1766,3,2951,3.0,20,0,0,0,2,17,0.3,104,17,10,237,890,1,1,1,10,0
783,3,2016,1.8,43,0,0,1,0,4,1.0,106,16,4,1198,1471,1,1,1,18,1
1027,5,1732,2.2,63,1,1,1,0,4,0.8,102,8,5,152,714,0,0,0,13,1
539,7,3597,0.6,21,0,1,0,9,14,0.1,145,6,10,551,599,0,0,1,3,2
1268,6,931,2.9,42,1,0,1,9,17,0.9,182,11,5,360,912,1,1,0,20,0
841,6,2942,0.5,39,1,1,1,8,13,0.1,199,11,5,546,828,0,0,1,16,2
1424,5,2658,2.9,54,0,0,0,11,0,0.6,180,15,15,181,1838,1,0,1,19,2
1959,6,619,0.5,42,0,1,1,5,18,0.7,191,7,4,519,1055,1,0,1,8,0
1732,5,3940,0.8,61,0,1,1,2,3,0.3,172,17,11,201,656,0,0,0,20,3
1646,2,686,2.5,25,0,0,1,3,5,0.6,200,8,6,211,1608,1,1,0,11,0
1310,8,1175,2.3,57,0,0,0,2,9,0.1,130,16,0,449,1545,0,0,1,8,0
1807,8,323,2.0,13,0,1,1,0,0,0.5,155,9,3,970,974,1,1,1,3,0
775,2,509,2.9,8,0,1,1,3,16,0.7,159,16,15,576,1864,1,0,0,11,0
765,6,2256,2.5,44,1,1,1,3,4,0.3,130,6,1,1364,1387,1,0,0,19,2
568,3,950,2.0,55,0,0,0,1,4,0.3,179,12,9,181,1703,1,1,0,10,0
688,5,1382,2.5,40,1,0,1,9,20,0.2,109,12,7,376,1957,0,0,0,8,1
1283,8,2282,0.5,41,0,0,1,8,14,0.8,169,5,2,854,1211,1,1,0,17,1
932,4,1459,2.8,13,1,0,1,1,2,0.7,109,6,1,599,1078,1,1,0,4,0
591,6,3746,0.5,16,1,0,0,1,17,0.9,98,7,0,892,1603,1,0,0,5,3
1883,7,1499,0.5,12,1,1,0,2,17,0.1,105,12,8,506,519,1,1,1,19,1
973,5,1861,0.5,53,0,0,1,5,7,0.5,196,13,10,105,588,0,0,1,16,1
511,8,3265,3.0,34,1,0,0,5,13,0.9,125,14,7,149,1285,1,1,1,14,2
1318,3,690,2.1,16,0,1,0,0,9,0.3,104,14,6,394,589,1,1,1,6,0
1442,5,1464,0.6,27,0,0,0,1,8,0.1,127,14,6,266,1009,0,0,1,7,0
880,8,1414,1.7,33,1,0,1,0,12,0.7,113,8,1,30,1350,1,0,1,7,0
1882,7,2500,1.3,35,1,1,0,8,13,0.2,86,17,1,119,652,1,1,1,11,2
822,6,3846,0.5,52,0,0,0,0,12,0.3,165,18,1,667,695,1,1,0,3,3
1635,4,2315,2.6,2,0,0,1,0,0,0.6,182,10,1,1209,1411,1,1,1,2,2
1640,8,1717,0.6,18,0,1,0,1,11,0.3,87,6,12,664,1806,1,0,1,10,3
687,4,3416,1.3,50,1,0,1,9,20,0.6,151,14,6,584,1151,1,1,0,8,3
659,8,967,1.4,3,0,1,0,2,6,0.1,85,10,1,190,657,1,1,1,14,0
1027,7,1234,0.8,18,1,1,0,7,11,1.0,146,7,4,338,534,1,0,0,14,0
840,6,2636,1.2,15,0,0,1,5,8,0.3,178,12,2,526,1728,1,1,1,6,2
1590,4,2836,1.5,14,0,0,0,12,15,0.5,187,6,5,1058,1109,1,1,1,4,3
796,1,1075,0.5,12,0,0,1,2,8,0.5,114,7,3,174,518,0,0,0,2,0
1699,4,1181,0.5,21,1,0,1,16,20,0.1,156,16,0,105,1099,1,0,0,18,1
1967,3,3510,0.7,35,0,1,0,0,1,0.2,189,14,4,778,844,0,1,1,18,2
742,8,331,2.3,21,1,0,0,0,1,0.7,104,11,8,875,925,1,0,0,7,0
622,4,3183,1.9,63,1,1,1,12,14,0.5,187,5,3,760,1964,1,0,1,4,2
1476,2,3779,0.5,2,0,1,1,4,17,0.9,106,9,3,1899,1481,1,0,0,7,3
1987,3,3117,0.5,53,1,1,1,3,7,1.0,181,18,5,1052,1516,1,1,0,8,3
1181,2,2240,2.3,61,0,1,0,7,10,0.6,138,6,0,385,831,1,1,0,18,1
909,3,594,2.9,30,1,1,1,9,10,0.7,97,11,0,1795,773,1,0,1,4,0
1066,5,1044,3.0,5,0,0,0,6,7,0.5,167,8,7,53,1504,1,1,1,11,0
1138,3,2200,2.1,48,0,0,1,5,14,0.6,109,6,0,211,1777,1,1,0,4,2
1859,1,1067,0.5,22,0,0,0,3,7,0.7,164,17,1,1004,1654,1,0,1,10,1
1191,5,1604,1.3,26,0,1,0,7,20,0.4,84,14,3,867,683,0,1,0,9,1
668,8,2399,2.9,30,0,1,1,7,12,0.2,195,10,5,522,1056,1,0,1,7,1
1830,2,588,0.5,40,0,1,1,5,10,0.5,162,6,5,496,1178,1,1,0,18,0
840,6,2072,0.9,33,0,0,1,6,7,0.7,150,10,8,1482,1591,0,0,1,19,2
1368,1,1590,0.5,42,0,0,0,10,20,0.2,91,12,0,907,925,1,1,0,14,1
595,2,1593,2.0,42,0,0,0,0,18,0.7,122,19,1,623,816,1,1,0,2,0
1337,2,2180,0.5,31,0,1,0,13,20,0.8,186,7,4,48,644,1,0,0,16,1
648,8,2096,0.7,55,1,0,0,0,12,0.1,140,15,3,403,1988,0,1,0,3,2
1520,5,3518,0.5,11,0,0,0,1,8,0.1,199,19,3,109,1909,1,1,0,4,3
1965,4,2032,1.5,39,1,1,1,0,3,0.2,187,11,10,854,1965,1,1,1,11,2
1936,3,1400,1.3,44,0,0,0,2,7,1.0,139,17,7,239,1021,0,0,0,17,1
1627,7,1958,2.3,20,1,0,0,7,12,1.0,158,13,5,1042,1904,1,0,0,2,2
964,1,1300,2.0,22,0,0,1,0,0,0.4,86,17,16,225,1556,1,1,0,5,2
609,1,2581,3.0,44,1,1,0,15,16,0.3,117,15,11,58,1253,1,1,0,15,1
990,2,2698,2.7,15,1,0,0,3,7,0.9,153,11,8,1466,1717,1,0,1,6,2
1954,3,1141,3.0,7,0,0,0,1,13,0.9,126,17,1,673,690,0,0,1,13,3
697,2,259,2.7,20,0,1,1,5,6,0.4,173,12,6,478,1477,1,1,1,4,0
1644,8,2360,2.8,44,0,0,0,0,0,1.0,137,7,4,358,791,1,1,0,19,2
1883,2,3724,2.7,30,1,1,1,6,10,0.5,95,16,15,531,791,1,1,1,20,3
1900,8,850,2.0,41,1,1,1,1,6,0.5,190,5,1,912,1596,1,0,1,4,1
1825,4,3130,2.4,17,0,1,0,13,18,0.2,157,12,4,522,1722,1,1,0,2,3
911,5,363,2.9,46,1,0,1,0,1,0.1,181,9,5,461,670,0,0,0,17,0
1681,1,2265,2.5,18,1,1,1,6,7,0.3,167,5,3,850,1005,1,0,1,20,2
590,6,1817,1.2,32,1,0,1,0,1,0.4,141,10,0,227,509,0,0,1,6,0
1454,7,1316,2.9,14,0,1,0,9,18,0.4,150,8,5,1116,952,1,0,0,8,1
1742,7,2610,2.3,43,0,1,0,9,12,0.4,170,12,3,453,681,1,1,1,10,2
1199,4,3448,2.5,16,1,1,0,15,20,0.2,116,17,13,1168,1552,1,1,1,10,3
659,8,2439,0.5,43,0,1,1,5,10,0.3,169,16,10,659,855,1,1,1,16,1
1358,8,3024,2.4,36,1,1,0,0,20,0.5,124,6,0,1117,1171,0,0,0,20,3
561,8,3421,1.0,11,1,1,1,0,10,0.1,163,16,2,492,1176,1,0,0,5,2
1654,2,3112,1.5,43,1,0,1,0,0,0.3,109,12,5,546,629,1,1,1,10,3
1339,4,867,0.5,21,1,0,1,10,11,0.5,80,8,3,833,1441,1,1,1,3,0
1514,3,1482,2.9,50,0,1,0,0,1,0.6,118,8,3,1331,1810,0,0,0,20,1
1009,8,1716,1.0,2,1,1,0,2,19,0.9,102,7,2,58,1043,0,0,1,15,1
1496,5,854,0.9,35,1,1,1,2,4,0.5,182,16,0,934,741,0,0,1,7,0
1614,3,3914,1.9,55,0,0,0,8,17,0.3,188,17,13,860,1330,1,1,0,13,3
1883,4,3736,2.5,57,1,0,0,1,4,0.6,198,10,8,740,840,1,1,0,5,3
1957,3,3801,0.9,31,0,0,0,11,0,0.6,181,12,0,396,1732,1,1,1,7,3
771,1,464,2.9,16,1,0,1,2,8,0.7,106,13,3,9,1104,0,0,0,6,1
682,4,2337,0.5,19,1,1,1,4,11,1.0,121,11,1,902,1064,0,0,0,18,1
932,6,790,1.4,23,0,0,1,0,1,0.7,135,13,7,1279,635,1,1,1,3,0
1883,1,2858,1.6,24,0,0,0,9,14,0.1,179,17,4,203,915,0,0,0,3,3
1365,4,1300,0.6,31,0,1,0,0,0,0.3,125,14,7,293,970,1,1,0,13,0
875,8,3396,1.4,43,1,0,0,1,3,0.6,104,14,2,902,969,1,1,1,18,3
1697,4,441,0.5,60,0,0,1,0,0,0.1,90,15,1,88,1046,1,1,0,11,0
942,4,587,1.4,27,0,1,1,8,9,0.5,91,6,3,754,1532,0,0,1,13,0
1620,6,1086,2.6,5,0,0,0,6,18,0.9,186,18,14,434,1339,1,0,1,13,1
609,4,1866,0.5,26,1,1,1,3,4,0.3,93,11,12,195,1607,1,1,1,14,1
559,5,2019,0.5,11,1,1,1,10,14,0.4,82,10,4,541,823,1,0,0,16,1
925,1,2466,2.1,56,1,0,0,9,14,0.9,133,8,0,245,1040,1,0,1,5,2
915,3,378,2.0,31,0,0,1,8,20,0.3,91,11,6,875,1316,1,1,0,9,0
1059,3,3716,2.4,61,0,0,1,8,18,0.1,134,15,13,1613,1916,1,0,0,11,3
1043,2,2148,1.6,55,0,1,1,6,18,0.5,168,14,2,753,1353,1,1,0,14,2
507,7,1702,0.5,32,1,1,1,1,11,0.5,141,17,0,936,1398,1,0,1,5,1
1501,1,2487,1.1,2,0,1,1,12,15,0.2,187,13,12,198,1056,1,1,0,16,2
855,2,1875,0.5,59,1,1,1,5,1,0.9,159,16,8,1028,1196,1,1,0,20,1
1902,8,3984,2.9,50,1,0,1,0,9,0.2,124,11,8,1142,1553,0,0,1,18,0
754,7,1027,0.5,59,0,0,0,7,10,0.7,178,6,3,1914,1928,1,1,1,5,1
518,6,2514,2.4,62,1,1,1,0,0,0.6,128,16,12,489,710,1,1,0,7,1
1469,7,2725,0.5,58,0,0,0,3,8,0.5,147,15,16,1699,1850,1,1,0,2,2
1702,6,435,0.5,2,1,1,1,8,5,0.6,86,12,9,921,1550,0,0,1,15,0
709,5,3568,2.4,11,0,1,0,1,11,0.1,130,16,14,119,1531,0,0,1,3,3
535,1,1567,0.5,46,1,0,0,0,9,0.6,199,7,2,518,1374,1,1,1,7,1
525,8,1891,0.5,51,1,0,1,5,11,0.5,137,18,3,262,1587,0,0,1,12,1
1288,6,1882,0.5,61,0,1,0,3,6,0.2,115,16,6,988,1503,1,1,1,10,2
919,1,1028,0.5,13,0,0,0,11,15,0.3,159,8,4,275,570,1,0,1,17,0
1914,8,643,0.7,35,0,1,0,1,2,0.6,118,17,1,942,1701,1,0,0,8,1
840,7,3486,0.6,63,0,0,1,0,19,0.8,137,12,8,987,1081,1,1,0,18,3
1023,7,3155,0.7,63,0,0,1,2,8,0.3,152,11,10,217,1985,1,1,0,7,3
972,4,3035,2.7,5,1,1,0,1,2,1.0,126,12,7,687,816,1,0,1,19,2
1836,6,3097,1.7,26,1,0,1,3,16,0.1,134,5,0,408,1139,0,0,1,18,3
1134,4,3632,0.9,57,0,1,1,5,19,0.8,92,17,8,18,903,1,1,0,6,3
603,3,3703,2.8,35,1,0,0,3,16,0.7,158,13,3,480,1182,0,0,1,9,3
1065,3,265,1.5,23,0,0,1,4,8,0.7,162,8,0,1188,939,1,1,1,12,0
1009,4,2286,2.8,2,1,0,0,7,15,0.6,115,19,8,267,1841,1,1,0,7,2
1240,2,1799,2.8,39,0,1,0,0,9,0.9,185,13,1,1511,1756,0,0,0,17,3
1503,4,2122,2.0,43,1,1,0,12,10,0.2,166,15,1,48,1304,1,1,0,2,2
1177,2,311,0.9,29,0,0,0,1,8,0.4,191,18,5,178,882,1,1,0,19,0
644,8,1262,2.7,22,0,1,1,0,3,0.1,157,12,1,545,881,1,0,0,15,0
969,8,3213,1.6,58,1,1,1,12,14,1.0,112,6,2,919,1344,1,1,0,16,0
799,8,431,2.3,63,0,1,1,8,20,0.8,144,15,6,361,975,0,1,0,6,0
618,3,2466,0.5,45,0,0,1,2,20,0.2,188,12,2,1175,1586,1,0,0,10,2
1249,3,531,0.5,55,1,1,0,3,8,0.8,140,18,6,605,790,0,0,0,13,0
551,7,1414,2.8,54,1,1,0,0,15,0.1,172,6,1,169,1916,1,1,0,19,0
651,5,1814,1.3,14,1,1,1,1,8,0.2,176,14,9,548,858,1,1,1,19,1
839,7,3835,2.0,14,0,0,0,0,3,0.4,175,15,8,564,1391,1,0,1,11,3
1569,7,590,2.9,35,0,0,1,9,14,0.7,142,13,2,150,1897,1,1,0,6,0
1673,3,3669,2.8,9,0,1,0,7,10,0.1,187,9,1,65,734,1,0,1,10,3
623,7,1769,0.8,26,1,0,0,6,12,0.3,197,10,1,484,1238,1,1,0,16,1
1031,4,2608,0.5,46,1,1,0,2,3,0.8,149,6,0,446,1421,0,0,0,2,2
1428,4,797,1.6,7,1,0,0,0,2,0.2,143,12,8,584,1282,0,0,0,13,1
502,3,2735,2.7,63,1,1,0,1,16,0.9,100,16,15,945,1558,1,1,1,13,2
1487,3,2563,0.5,57,0,0,0,6,12,0.7,84,6,11,140,768,1,0,0,14,2
1330,7,2166,1.1,37,0,0,0,11,20,0.7,126,10,1,1103,1637,1,0,0,4,2
1323,4,1892,2.5,28,1,1,1,10,12,0.2,131,10,0,162,619,1,1,1,15,1
936,3,2391,1.0,18,0,1,1,1,18,0.2,153,12,6,165,1759,1,1,0,16,2
706,3,315,0.6,31,0,1,0,13,19,0.1,108,5,16,543,938,0,1,0,4,1
1122,3,1402,2.8,28,0,0,1,0,4,0.6,184,14,10,1578,1963,0,0,0,3,1
1763,3,792,0.5,10,0,1,1,0,19,0.7,184,17,12,238,1893,1,0,1,13,0
517,4,3704,1.4,5,1,1,0,3,8,0.8,183,5,16,660,974,1,1,1,17,3
1597,1,2130,0.9,4,1,0,1,4,19,0.5,85,8,3,880,1145,1,1,0,15,2
1280,7,2335,2.0,39,1,1,0,2,1,1.0,108,7,4,903,821,1,1,0,2,1
684,5,3756,0.9,63,1,1,1,3,9,1.0,157,17,5,159,1738,1,1,1,12,3
